name,State,gdp,population,region,electricityGenerated,co2_electric_emissions,renewable_share,imports,totalElectricity,cons_rejected,cons_residential,cons_commercial,cons_industrial,cons_rejected_pct,cons_residential_pct,cons_commercial_pct,cons_industrial_pct,gen_petroleum,gen_naturalGas,gen_coal,gen_nuclear,gen_hydroelectric,gen_nonhydroRenewables,gen_total,gen_petroleum_pct,gen_naturalGas_pct,gen_coal_pct,gen_nuclear_pct,gen_hydroelectric_pct,gen_nonhydroRenewables_pct
Alabama,AL,205625,4903185,South,1282,50842,0.15,-152,1130,822,113,80.1,115,0.7274,0.1,0.0709,0.1018,0,390.98,243.741,368.493,98.649,28.024,1282,0,0.346,0.2157,0.3261,0.0873,0.0248
Alaska,AK,50404,731545,West,55.6,3470,0.04,0,55.6,35.2,6.7,9,4.6,0.6331,0.1205,0.1619,0.0827,8.16208,20.3496,7.33364,0,17.74196,2.01272,55.6,0.1468,0.366,0.1319,0,0.3191,0.0362
Arizona,AZ,305849,7278717,West,1066,43562,0.12,-98.7,967.3,707,118,101,47.7,0.7309,0.122,0.1044,0.0493,0.67711,304.98969,163.86062,355.57948,64.90583,77.19054,1066,0.0007,0.3153,0.1694,0.3676,0.0671,0.0798
Arkansas,AR,121383,3017825,South,621,32514,0.11,-48.3,572.7,404,65,41.9,61.6,0.7054,0.1135,0.0732,0.1076,1.25994,117.68985,247.63548,154.39992,40.54716,11.11038,621,0.0022,0.2055,0.4324,0.2696,0.0708,0.0194
California,CA,2622731,39512223,West,1608,40874,0.14,305,1913,1042,304,395,170,0.5447,0.1589,0.2065,0.0889,4.3999,945.4046,3.826,125.3015,121.0929,712.7838,1608,0.0023,0.4942,0.002,0.0655,0.0633,0.3726
Colorado,CO,322644,5758736,West,535,33912,0.11,14.5,549.5,357,65.8,71.7,54.8,0.6497,0.1197,0.1305,0.0997,0,143.6393,266.5075,0,20.38645,118.96675,535,0,0.2614,0.485,0,0.0371,0.2165
Connecticut,CT,259918,3565287,Northeast,342,9517,0.07,-28.3,313.7,216,44.6,42.2,11,0.6886,0.1422,0.1345,0.0351,0,165.06894,10.47758,128.9307,2.91741,6.30537,342,0,0.5262,0.0334,0.411,0.0093,0.0201
Delaware,DE,71453,705749,South,44.9,2650,0.03,24.4,69.3,29.1,17.3,14.8,8.1,0.4199,0.2496,0.2136,0.1169,0,50.73453,15.91821,0,0,2.65419,44.9,0,0.7321,0.2297,0,0,0.0383
DistrictofColumbia,DC,126478,973764,South,0,110,0.02,38,38,0,8.8,28.1,0.66,0,0.2316,0.7395,0.0174,0,26.8242,0,0,0,11.1758,0,0,0.7059,0,0,0,0.2941
Florida,FL,926049,21477737,South,2024,98945,0.07,49.4,2073.4,1258,428,328,58.4,0.6067,0.2064,0.1582,0.0282,13.26976,1450.55064,194.69226,301.47236,1.86606,111.54892,2024,0.0064,0.6996,0.0939,0.1454,0.0009,0.0538
Georgia,GA,531302,10617423,South,1141,51074,0.11,82.5,1223.5,746,204,161,112,0.6097,0.1667,0.1316,0.0915,0,481.5696,334.0155,284.95315,36.9497,86.01205,1141,0,0.3936,0.273,0.2329,0.0302,0.0703
Hawaii,HI,84671,1415872,West,89.7,7337,0.11,0,89.7,57.9,9.2,10.3,12.3,0.6455,0.1026,0.1148,0.1371,63.15777,0,10.50387,0,0,16.03836,89.7,0.7041,0,0.1171,0,0,0.1788
Idaho,ID,68377,1787065,West,157,2293,0.32,26.2,183.2,102,28.8,22,30.3,0.5568,0.1572,0.1201,0.1654,0,41.7696,0,0,106.84224,34.58816,157,0,0.228,0,0,0.5832,0.1888
Illinois,IL,796012,12671821,Midwest,1906,63036,0.07,-113,1793,1306,161,173,151,0.7284,0.0898,0.0965,0.0842,0,171.7694,491.1027,922.8571,1.0758,206.195,1906,0,0.0958,0.2739,0.5147,0.0006,0.115
Indiana,IN,347249,6732219,Midwest,1093,77844,0.07,10.9,1103.9,749,118,82.9,155,0.6785,0.1069,0.0751,0.1404,3.09092,282.92957,0,729.45712,2.31819,86.1042,1093,0.0028,0.2563,0,0.6608,0.0021,0.078
Iowa,IA,185183,3155070,Midwest,582,28989,0.29,-23.5,558.5,384,50.6,42.4,81.7,0.6876,0.0906,0.0759,0.1463,0,24.74155,215.74855,0,7.819,310.24675,582,0,0.0443,0.3863,0,0.014,0.5555
Kansas,KS,150576,2913314,Midwest,524,20884,0.19,-24.5,499.5,356,48.4,55.2,39.9,0.7127,0.0969,0.1105,0.0799,3.84615,27.82215,208.54125,95.8041,0.24975,163.2366,524,0.0077,0.0557,0.4175,0.1918,0.0005,0.3268
Kentucky,KY,196681,4467673,South,797,58805,0.06,8.1,805.1,543,94.6,68.2,98.7,0.6745,0.1175,0.0847,0.1226,1.04663,139.44332,0,612.76161,47.66192,4.18652,797,0.0013,0.1732,0,0.7611,0.0592,0.0052
Louisiana,LA,236999,4648794,South,681,48116,0.04,65.2,746.2,425,109,84.2,128,0.5696,0.1461,0.1128,0.1715,0,503.83424,80.14188,133.86828,10.52142,17.75956,681,0,0.6752,0.1074,0.1794,0.0141,0.0238
Maine,ME,59295,1344212,Northeast,95.5,1823,0.41,4.3,99.8,57.7,16.6,15.2,10.4,0.5782,0.1663,0.1523,0.1042,0,28.1436,0,0.86826,28.03382,42.75432,95.5,0,0.282,0,0.0087,0.2809,0.4284
Maryland,MD,382437,6045680,South,415,13109,0.07,75.1,490.1,279,96,101,13.2,0.5693,0.1959,0.2061,0.0269,1.4703,128.21016,160.31171,170.40777,13.77181,15.97726,415,0.003,0.2616,0.3271,0.3477,0.0281,0.0326
Massachusetts,MA,505776,6949503,Northeast,332,8519,0.07,102,332,150,69.2,88.6,22.9,0.4518,0.2084,0.2669,0.069,4.316,276.8548,0,0,13.8444,37.018,332,0.013,0.8339,0,0,0.0417,0.1115
Michigan,MI,490238,9986857,Midwest,1141,57232,0.09,-23.1,1117.9,760,120,133,105,0.6798,0.1073,0.119,0.0939,1.00611,311.44694,363.3175,325.19711,16.65671,100.27563,1141,0.0009,0.2786,0.325,0.2909,0.0149,0.0897
Minnesota,MN,339096,5639632,Midwest,596,25291,0.16,33.8,629.8,395,77.9,79.8,76.7,0.6272,0.1237,0.1267,0.1218,0,89.87246,243.22876,143.09056,11.21044,142.3348,596,0,0.1427,0.3862,0.2272,0.0178,0.226
Mississippi,MS,108495,2976149,South,513,25018,0.06,-28.5,484.5,313,65.9,49.6,56.5,0.646,0.136,0.1024,0.1166,0.1938,348.2586,42.19995,83.28555,0,10.5621,513,0.0004,0.7188,0.0871,0.1719,0,0.0218
Missouri,MO,299113,6137428,Midwest,862,57516,0.06,6.1,868.1,588,128,106,45.7,0.6773,0.1474,0.1221,0.0526,11.2853,70.22929,0,708.71684,21.18164,56.60012,862,0.013,0.0809,0,0.8164,0.0244,0.0652
Montana,MT,46227,1068778,West,284,16348,0.34,-41.3,242.7,192,17.7,16.8,16.1,0.7911,0.0729,0.0692,0.0663,0,4.32006,103.58436,0,109.33635,25.43496,284,0,0.0178,0.4268,0,0.4505,0.1048
Nebraska,NE,117446,1934408,Midwest,377,23660,0.21,-12.8,364.2,258,35.5,32.6,37.4,0.7084,0.0975,0.0895,0.1027,0,17.77296,194.59206,65.556,15.00504,71.27394,377,0,0.0488,0.5343,0.18,0.0412,0.1957
Nevada,NV,146278,3080156,West,330,13921,0.16,1.7,331.7,203,45.9,41.4,41.6,0.612,0.1384,0.1248,0.1254,0,212.91823,10.97927,0,18.27667,89.52583,330,0,0.6419,0.0331,0,0.0551,0.2699
New Hampshire,NH,77208,1359711,Northeast,173,1952,0.19,-18.5,154.5,117,15.8,15.2,6.7,0.7573,0.1023,0.0984,0.0434,2.08575,32.36775,13.36425,82.9356,11.2785,12.46815,173,0.0135,0.2095,0.0865,0.5368,0.073,0.0807
New Jersey,NJ,575331,8882190,Northeast,669,18869,0.04,24,693,433,101,132,25.1,0.6248,0.1457,0.1905,0.0362,0,290.367,17.4636,362.0232,0.1386,23.0076,669,0,0.419,0.0252,0.5224,0.0002,0.0332
New Mexico,NM,93594,2096829,West,307,20386,0.14,-24.1,282.9,201,23.3,30.8,27.9,0.7105,0.0824,0.1089,0.0986,0,86.73714,92.7912,0,0,103.37166,307,0,0.3066,0.328,0,0,0.3654
New York,NY,1500055,19453561,Northeast,1237,24807,0.13,63.7,1300.7,789,178,262,61.7,0.6066,0.1368,0.2014,0.0474,24.7133,501.41985,0,397.23378,292.52743,84.80564,1237,0.019,0.3855,0,0.3054,0.2249,0.0652
North Carolina,NC,521621,10488084,South,1238,47372,0.1,48,1286,814,210,168,93.4,0.633,0.1633,0.1306,0.0726,7.2016,385.157,326.2582,408.1764,63.1426,96.0642,1238,0.0056,0.2995,0.2537,0.3174,0.0491,0.0747
North Dakota,ND,53453,762062,Midwest,448,28668,0.24,-72.6,375.4,305,17.5,23.3,29.7,0.8125,0.0466,0.0621,0.0791,0,11.4497,0,227.07946,29.80676,107.02654,448,0,0.0305,0,0.6049,0.0794,0.2851
Ohio,OH,626622,11689100,Midwest,1180,68113,0.04,123,1303,782,186,161,175,0.6002,0.1427,0.1236,0.1343,0,545.4358,541.1359,173.6899,4.0393,38.6991,1180,0,0.4186,0.4153,0.1333,0.0031,0.0297
Oklahoma,OK,181278,3956971,South,760,28239,0.19,-482,278,56.9,82.3,72.4,65.6,0.2047,0.296,0.2604,0.236,0.278,127.463,0,46.565,13.066,90.6558,760,0.001,0.4585,0,0.1675,0.047,0.3261
Oregon,OR,228886,4217737,West,550,11029,0.49,-40.1,509.9,341,64.6,56.2,47.5,0.6688,0.1267,0.1102,0.0932,0,143.38388,0,0,262.75147,103.76465,550,0,0.2812,0,0,0.5153,0.2035
Pennsylvania,PA,719834,12801989,Northeast,2005,77357,0.06,-179,1826,1317,191,147,168,0.7212,0.1046,0.0805,0.092,3.2868,853.4724,370.678,534.4702,22.825,41.2676,2005,0.0018,0.4674,0.203,0.2927,0.0125,0.0226
Rhode Island,RI,57529,1059361,Northeast,63.3,2996,0.05,-0.77,62.53,36.6,10.7,12.6,2.5,0.5853,0.1711,0.2015,0.04,0,56.495855,0,0,0,6.034145,63.3,0,0.9035,0,0,0,0.0965
South Carolina,SC,209859,5148714,South,981,25110,0.1,-36.8,944.2,665,109,75.9,94.5,0.7043,0.1154,0.0804,0.1001,2.73818,175.71562,191.57818,512.32292,27.8539,33.9912,981,0.0029,0.1861,0.2029,0.5426,0.0295,0.036
SouthDakota,SD,48354,884659,Midwest,117,3289,0.38,3.4,120.4,76.9,17.1,16.7,10,0.6387,0.142,0.1387,0.0831,0,7.72968,17.22924,0,52.4342,43.00688,117,0,0.0642,0.1431,0,0.4355,0.3572
Tennessee,TN,331868,6833174,South,794,27328,0.09,95.5,889.5,538,151,126,73.7,0.6048,0.1698,0.1417,0.0829,1.2453,148.45755,249.50475,385.6872,95.44335,9.16185,794,0.0014,0.1669,0.2805,0.4336,0.1073,0.0103
Texas,TX,1599283,28995881,South,4035,217556,0.07,23.7,4058.7,2610,537,490,422,0.6431,0.1323,0.1207,0.104,5.68218,2030.97348,795.09933,386.79411,16.64067,823.51023,4035,0.0014,0.5004,0.1959,0.0953,0.0041,0.2029
Utah,UT,157671,3205958,West,369,28316,0.07,-19.2,349.8,243,33.1,41.2,32,0.6947,0.0946,0.1178,0.0915,0.31482,77.1309,231.81246,0,8.64006,31.93674,369,0.0009,0.2205,0.6627,0,0.0247,0.0913
Vermont,VT,31091,623989,Northeast,22,7,0.32,3.1,25.1,6.3,7.2,6.8,4.8,0.251,0.2869,0.2709,0.1912,0,0,0,0,14.34214,10.75786,22,0,0,0,0,0.5714,0.4286
Virginia,VA,492932,8535519,South,853,29965,0.08,110,963,561,164,178,60.6,0.5826,0.1703,0.1848,0.0629,11.6523,472.6404,103.8114,306.3303,14.7339,53.8317,853,0.0121,0.4908,0.1078,0.3181,0.0153,0.0559
Washington,WA,476770,7614893,West,1061,14628,0.46,-61.4,999.6,692,121,100,86.2,0.6923,0.121,0.1,0.0862,0,115.05396,25.78968,82.86684,669.732,106.05756,1061,0,0.1151,0.0258,0.0829,0.67,0.1061
West Virginia,WV,72861,1792147,South,673,56823,0.06,-107,566,452,39.9,26.5,48.4,0.7986,0.0705,0.0468,0.0855,1.3018,9.339,533.6248,0,10.8106,10.9804,673,0.0023,0.0165,0.9428,0,0.0191,0.0194
Wisconsin,WI,313088,5822434,Midwest,631,35179,0.11,35.9,666.9,425,76.6,82.2,83.3,0.6373,0.1149,0.1233,0.1249,0,172.99386,336.45105,95.56677,28.34325,33.54507,631,0,0.2594,0.5045,0.1433,0.0425,0.0503
Wyoming,WY,38328,578759,West,479,39199,0.1,-93.7,385.3,328,9.5,12.8,35,0.8513,0.0247,0.0332,0.0908,0.46236,10.59575,280.19016,0,10.17192,83.87981,479,0.0012,0.0275,0.7272,0,0.0264,0.2177
